LF,keyverb_eng,verb_en,verb_fr,object_fr,collocation,full_expression
Oper1,bath,take ,prendre,bain,T,prendre un bain
Oper1,bite,take ,prendre,bouchée,T,prendre une bouchée
Oper1,breath,take ,prendre,inspiration,T,prendre une inspiration
Oper1,decision,make ,prendre,décision,T,prendre une décision
Oper1,measure,take ,prendre,mesure,T,prendre une mesure
Oper1,precautions,take ,prendre,précautions,T,prendre des précautions
Oper1,revenge,take ,prendre,revanche,T,prendre une revanche
Oper1,turn,take  ,prendre,tournure,T,prendre une tournure
Oper1,vacations,take ,prendre,vacances,T,prendre des vacances
Oper2,compliment,take ,prendre,compliment,T,prendre un compliment
Oper1,advice,give,donner,recommandation,T,donner une recommandation
Oper1,alarm,sound ,donner,alarme,T,donner l'alarme
Oper1,answer,give,donner,réponse,T,donner une réponse
Oper1,blow,strike ,donner,coup,T,donner un coup
Oper1,characterization,provide ,donner,description,T,donner une description
Oper1,clearance,give,donner,autorisation,T,donner une autorisation
Oper1,concert,present ,donner,concert,T,donner un concert
Oper1,description,give,donner,description,T,donner une description
Oper1,explanation,give,donner,explication,T,donner une explication
Oper1,gains,make ,donner,résultats,T,donner des résultats
Oper1,heads-up,give,donner,préavis,T,donner un préavis
Oper1,indication,give,donner,indication,T,donner une indication
Oper1,lecture,deliver ,donner,conférence,T,donner une conférence
Oper1,lecture,give,donner,cours,T,donner un cours
Oper1,lesson,give,donner,leçon,T,donner une leçon
Oper1,order,give,donner,ordre,T,donner un ordre
Oper1,ultimatum,give,donner,ultimatum,T,donner un ultimatum
Oper1,warning,give,donner,avertissement,T,donner un avertissement
Oper2,beating,take ,donner,correction,T,donner une correction
Oper2,impression,give,donner,impression,T,donner une impression
Oper1,announcement,make ,faire,déclaration,T,faire une déclaration
Oper1,appearance,make ,faire,apparition,T,faire une apparition
Oper1,application,make ,faire,demande,T,faire une demande
Oper1,assumption,have ,faire,supposition,T,faire une supposition
Oper1,attempt,make ,faire,tentative,T,faire une tentative
Oper1,bet,have ,faire,pari,T,faire un pari
Oper1,boast,make ,faire,fanfaronnade,T,faire une fanfaronnade
Oper1,bow,give,faire,révérence,T,faire une révérence
Oper1,business,conduct ,faire,affaire,T,faire des affaires
Oper1,choice,make ,faire,choix,T,faire un choix
Oper1,comment,make ,faire,commentaire,T,faire un commentaire
Oper1,comparison,make ,faire,comparaison,T,faire une comparaison
Oper1,compliment,pay ,faire,compliment,T,faire un compliment
Oper1,contribution,make ,faire,contribution,T,faire une contribution
Oper1,correction,make ,faire,correction,T,faire une correction
Oper1,crack,have ,faire,tentative,T,faire une tentative
Oper1,crack,make ,faire,essai,T,faire un essai
Oper1,debut,make ,faire,début,T,faire un début
Oper1,demand,make ,faire,demande,T,faire une demande
Oper1,discovery,make ,faire,découverte,T,faire une découverte
