LF,verb_en,keyverb_eng,verb_es,object_es,gen_object_es,num_obj_es,collocation,full_expression
Oper1,give,advice,dar,consejo,M,sg,T,dar un consejo
Oper1,provide,aid,dar,ayuda,F,sg,T,dar ayuda
Oper1,give,answer,dar,respuesta,F,sg,T,dar una respuesta
Oper1,give,assurance,dar,seguridad,F,sg,T,dar seguridad
Oper1,give,attention,dar,atención,F,sg,T,dar atención
Oper1,give,chase,dar,caza,F,sg,T,dar caza
Oper1,present,concert,dar,concierto,M,sg,T,dar un concierto
Oper1,give,coverage,dar,cobertura,F,sg,T,dar cobertura
Oper1,give,credit,dar,crédito,M,sg,T,dar crédito
Oper1,give,description,dar,descripción,F,sg,T,dar una descripción
Oper1,give,explanation,dar,explicación,F,sg,T,dar una explicación
Oper1,_put up_,fight,dar,guerra,F,sg,T,dar guerra
Oper1,give,indication,dar,indicación,F,sg,T,dar una indicación
Oper1,make,jump,dar,salto,M,sg,T,dar un salto
Oper1,give,kick,dar,patada,F,sg,T,dar una patada
Oper1,give,lecture,dar,conferencia,F,sg,T,dar una conferencia
Oper1,make,move,dar,paso,M,sg,T,dar un paso
Oper1,give,order,dar,orden,F,sg,T,dar una orden
Oper1,give,ovation,dar,ovación,F,sg,T,dar una ovación
Oper1,give,protection,dar,protección,F,sg,T,dar protección
Oper1,give,reprieve,dar,respiro,M,sg,T,dar un respiro
Oper1,give,sentence,dar,sentencia,F,sg,T,dar una sentencia
Oper1,give,share,dar,parte,F,sg,T,dar parte
Oper1,give,shelter,dar,cobijo,M,sg,T,dar cobijo
Oper1,show,sign,dar,señal,F,sg,T,dar una señal
Oper1,give,speech,dar,discurso,M,sg,T,dar un discurso
Oper1,give,suggestion,dar,sugerencia,F,sg,T,dar una sugerencia
Oper1,provide,support,dar,fundamento,M,sg,T,dar fundamento
Oper1,take,swing,dar,golpe,M,sg,T,dar un golpe
Oper1,take,turn,dar,giro,M,sg,T,dar un giro
Oper1,make,announcement,hacer,anuncio,M,sg,T,hacer un anuncio
Oper1,make,appearance,hacer,aparición,F,sg,T,hacer una aparición
Oper1,make,attempt,hacer,esfuerzo,M,sg,T,hacer un esfuerzo
Oper1,make,bequest,hacer,donación,F,sg,T,hacer una donación
Oper1,take,bow,hacer,reverencia,F,sg,T,hacer una reverencia
Oper1,conduct,business,hacer,negocio,M,sg,T,hacer un negocio
Oper1,give,call,hacer,llamada,F,sg,T,hacer una llamada
Oper1,make,call,hacer,visita,F,sg,T,hacer una visita
Oper1,make,change,hacer,cambio,M,sg,T,hacer un cambio
Oper1,make,comeback,hacer,reaparición,F,sg,T,hacer una reaparición
Oper1,make,comment,hacer,comentario,M,sg,T,hacer un comentario
Oper1,make,comparison,hacer,comparación,F,sg,T,hacer una comparación
Oper1,make,compromise,hacer,concesión,F,sg,T,hacer una concesión
Oper1,make,contribution,hacer,aportación,F,sg,T,hacer una aportación
Oper1,make,correction,hacer,corrección,F,sg,T,hacer una corrección
Oper1,make,discovery,hacer,descubrimiento,M,sg,T,hacer un descubrimiento
Oper1,make,distinction,hacer,distinción,F,sg,T,hacer una distinción
Oper1,make,estimate,hacer,estimación,F,sg,T,hacer una estimación
Oper1,take,exercise,hacer,ejercicio,M,sg,T,hacer ejercicio
Oper1,run,experiment,hacer,experimento,M,sg,T,hacer un experimento
Oper1,do,favor,hacer,favor,M,sg,T,hacer un favor
Oper1,make,gesture,hacer,gesto,M,sg,T,hacer un gesto
Oper1,do,job,hacer,trabajo,M,sg,T,hacer un trabajo
Oper1,make,joke,hacer,broma,F,sg,T,hacer una broma
Oper1,perform,magic,hacer,magia,F,sg,T,hacer magia
Oper1,take,nap,hacer,siesta,F,sg,T,hacer una siesta
Oper1,make,noise,hacer,ruido,M,sg,T,hacer ruido
Oper1,make,observation,hacer,consideración,F,sg,T,hacer una consideración
