verb,person,future_active,present_perfect_active,past_perfect_active,future_passive,present_perfect_passive,past_perfect_passive
tener,yo,tendré,he tenido,había tenido,seré tenido,he sido tenido,había sido tenido
tener,tú,tendrás,has tenido,habías tenido,serás tenido,has sido tenido,habías sido tenido
tener,él,tendrá,ha tenido,había tenido,será tenido,ha sido tenido,había sido tenido
tener,ella,tendrá,ha tenido,había tenido,será tenida,ha sido tenida,había sido tenida
tener,nosotros,tendremos,hemos tenido,habíamos tenido,seremos tenidos,hemos sido tenidos,habíamos sido tenidos
tener,vosotros,tendréis,habéis tenido,habíais tenido,seréis tenidos,habéis sido tenidos,habíais sido tenidos
tener,ellos,tendrán,han tenido,habían tenido,serán tenidos,han sido tenidos,habían sido tenidos
tener,ellas,tendrán,han tenido,habían tenido,serán tenidas,han sido tenidas,habían sido tenidas
dar,yo,daré,he dado,había dado,seré dado,he sido dado,había sido dado
dar,tú,darás,has dado,habías dado,serás dado,has sido dado,habías sido dado
dar,él,dará,ha dado,había dado,será dado,ha sido dado,había sido dado
dar,ella,dará,ha dado,había dado,será dada,ha sido dada,había sido dada
dar,nosotros,daremos,hemos dado,habíamos dado,seremos dados,hemos sido dados,habíamos sido dados
dar,vosotros,daréis,habéis dado,habíais dado,seréis dados,habéis sido dados,habíais sido dados
dar,ellos,darán,han dado,habían dado,serán dados,han sido dados,habían sido dados
dar,ellas,darán,han dado,habían dado,serán dadas,han sido dadas,habían sido dadas
tomar,yo,tomaré,he tomado,había tomado,seré tomado,he sido tomado,había sido tomado
tomar,tú,tomarás,has tomado,habías tomado,serás tomado,has sido tomado,habías sido tomado
tomar,él,tomará,ha tomado,había tomado,será tomado,ha sido tomado,había sido tomado
tomar,ella,tomará,ha tomado,había tomado,será tomada,ha sido tomada,había sido tomada
tomar,nosotros,tomaremos,hemos tomado,habíamos tomado,seremos tomados,hemos sido tomados,habíamos sido tomados
tomar,vosotros,tomaréis,habéis tomado,habíais tomado,seréis tomados,habéis sido tomados,habíais sido tomados
tomar,ellos,tomarán,han tomado,habían tomado,serán tomados,han sido tomados,habían sido tomados
tomar,ellas,tomarán,han tomado,habían tomado,serán tomadas,han sido tomadas,habían sido tomadas
recibir,yo,recibiré,he recibido,había recibido,seré recibido,he sido recibido,había sido recibido
recibir,tú,recibirás,has recibido,habías recibido,serás recibido,has sido recibido,habías sido recibido
recibir,él,recibirá,ha recibido,había recibido,será recibido,ha sido recibido,había sido recibido
recibir,ella,recibirá,ha recibido,había recibido,será recibida,ha sido recibida,había sido recibida
recibir,nosotros,recibiremos,hemos recibido,habíamos recibido,seremos recibidos,hemos sido recibidos,habíamos sido recibidos
recibir,vosotros,recibiréis,habéis recibido,habíais recibido,seréis recibidos,habéis sido recibidos,habíais sido recibidos
recibir,ellos,recibirán,han recibido,habían recibido,serán recibidos,han sido recibidos,habían sido recibidos
recibir,ellas,recibirán,han recibido,habían recibido,serán recibidas,han sido recibidas,habían sido recibidas
hacer,yo,haré,he hecho,había hecho,seré hecho,he sido hecho,había sido hecho
hacer,tú,harás,has hecho,habías hecho,serás hecho,has sido hecho,habías sido hecho
hacer,él,hará,ha hecho,había hecho,será hecho,ha sido hecho,había sido hecho
hacer,ella,hará,ha hecho,había hecho,será hecha,ha sido hecha,había sido hecha
hacer,nosotros,haremos,hemos hecho,habíamos hecho,seremos hechos,hemos sido hechos,habíamos sido hechos
hacer,vosotros,haréis,habéis hecho,habíais hecho,seréis hechos,habéis sido hechos,habíais sido hechos
hacer,ellos,harán,han hecho,habían hecho,serán hechos,han sido hechos,habían sido hechos
hacer,ellas,harán,han hecho,habían hecho,serán hechas,han sido hechas,habían sido hechas
