time_specs,poss_masc,poss_fem,poss_sg_fem_vowel,poss_pl,det_sg_masc,det_sg_fem,det_pl_fem,det_pl_masc,quant_masc,quant_fem,det_poss_tf,subject_sg,gender_subj_sg,context_gender_sg,subject_pl,gender_subj_pl,context_gender_pl,subjects_pron,adverbs
A principios de enero,mi,mi,mi,mis,el,la,las,los,algunos,algunas,F,actor,M,M,actores,M,M,yo,aparentemente
A mediados de enero,tu,tu,tu,tus,el,la,unas,unos,varios,varias,F,actriz,F,F,actrices,F,F,tú,ciertamente
A finales de enero,su,su,su,sus,un,una,esas,esos,algunos,algunas,T,consejero,M,M,consejeros,M,M,él,claramente
A principios de febrero,nuestro,nuestra,nuestro,nuestros,este,esta,estas,estos,mucho,mucha,T,consejera,F,F,consejeras,F,F,ella,evidentemente
A mediados de febrero,vuestro,vuestra,vuestro,vuestros,,,,,poco,poca,F,candidato,M,M,candidatos,M,M,nosotros,finalmente
A finales de febrero,su,su,su,sus,,,,,,,F,candidata,F,F,candidatas,F,F,vosotros,habitualmente
A principios de marzo,,,,,,,,,,,F,arquitecto,M/F,M,arquitectos,MF,M,ellos,afortunadamente
A mediados de marzo,,,,,,,,,,,F,arquitecta,M/F,F,arquitectas,MF,F,ellas,desafortunadamente
A finales de marzo,,,,,,,,,,,T,asistente,M/F,M,asistentes,M,M,,manifiestamente
A principios de abril,,,,,,,,,,,T,asistente,F,F,asistentes,F,F,,naturalmente
A mediados de abril,,,,,,,,,,,F,atleta,M/F,M,atletas,MF,M,,probablemente
A finales de abril,,,,,,,,,,,F,atleta,M/F,F,atletas,MF,F,,raramente
A principios de mayo,,,,,,,,,,,F,dependiente,M,M,dependientes,M,M,,notablemente
A mediados de mayo,,,,,,,,,,,F,dependienta,F,F,dependientas,F,F,,a menudo
A finales de mayo,,,,,,,,,,,T,tía,F,F,tías,F,F,,inevitablemente
A principios de junio,,,,,,,,,,,F,panadero,M,M,panaderos,M,M,,
A mediados de junio,,,,,,,,,,,F,panadera,F,F,panaderas,F,F,,
A finales de junio,,,,,,,,,,,T,peluquero,M,M,peluqueros,M,M,,
A principios de julio,,,,,,,,,,,T,peluquera,F,F,peluqueras,F,F,,
A mediados de julio,,,,,,,,,,,F,joven,M,M,jóvenes,M,M,,
A finales de julio,,,,,,,,,,,T,hermano,M,M,hermanos,M,M,,
A principios de agosto,,,,,,,,,,,T,hermana,F,F,hermanas,F,F,,
A mediados de agosto,,,,,,,,,,,F,capitán,M/F,M,capitanes,MF,M,,
A finales de agosto,,,,,,,,,,,F,capitana,M/F,F,capitanas,MF,F,,
A principios de septiembre,,,,,,,,,,,F,cajero,M,M,cajeros,M,M,,
