verb_object,verb,object,has_determiner,obj_number,collocation,LF,,,,,,,
receive support,receive,support,no,sg,T,tba,,,,,,,
receive criticism ,receive,criticism ,no,sg,T,tba,,,,,,,
receive approval ,receive,approval ,no,sg,T,tba,,,,,,,
receive opposition,receive,opposition,no,sg,T,tba,,,,,,,
receive funding ,receive,funding ,no,sg,T,tba,,,,,,,
receive attention ,receive,attention ,no,sg,T,tba,,,,,,,
receive praise ,receive,praise ,no,sg,T,tba,,,,,,,
receive backing ,receive,backing ,no,sg,T,tba,,,,,,,
receive endorsement ,receive,endorsement ,no,sg,T,tba,,,,,,,
receive recognition ,receive,recognition ,no,sg,T,tba,,,,,,,
receive feedback ,receive,feedback ,no,sg,T,tba,,,,,,,
receive coverage ,receive,coverage ,no,sg,T,tba,,,,,,,
receive scrutiny ,receive,scrutiny ,no,sg,T,tba,,,,,,,
receive assistance ,receive,assistance ,no,sg,T,tba,,,,,,,
receive consideration,receive,consideration,no,sg,T,tba,,,,,,,
receive support ,receive,support ,no,sg,T,tba,,,,,,,
receive encouragement ,receive,encouragement ,no,sg,T,tba,,,,,,,
receive resistance,receive,resistance,no,sg,T,tba,,,,,,,
receive attention ,receive,attention ,no,sg,T,tba,,,,,,,
receive acclaim,receive,acclaim,no,sg,T,tba,,,,,,,
receive a package,receive,package,a,sg,F,no,,,,,,,
receive a parcel,receive,parcel,a,sg,F,no,,,,,,,
receive a letter,receive,letter,a,sg,F,no,,,,,,,
receive a gift,receive,gift,a,sg,F,no,,,,,,,
receive a box,receive,box,a,sg,F,no,,,,,,,
receive a book ,receive,book,a,sg,F,no,,,,,,,
receive a crate,receive,crate,a,sg,F,no,,,,,,,
receive supplies,receive,supplies,no,pl,F,no,,,,,,,
receive materials,receive,materials,no,pl,F,no,,,,,,,
receive a card,receive,card,a,sg,F,no,,,,,,,
receive a container,receive,container,a,sg,F,no,,,,,,,
receive a document,receive,document,a,sg,F,no,,,,,,,
receive a medal,receive,medal,a,sg,F,no,,,,,,,
receive a trophy,receive,trophy,a,sg,F,no,,,,,,,
receive a passport,receive,passport,a,sg,F,no,,,,,,,
receive a badge,receive,badge,a,sg,F,no,,,,,,,
receive food,receive,food,a,sg,F,no,,,,,,,
receive blankets,receive,blankets,no,pl,F,no,,,,,,,
receive groceries,receive,groceries,no,pl,F,no,,,,,,,
receive equipment,receive,equipment,no,sg,F,no,,,,,,,
have a feast,have ,feast,a,sg,T,tba,,,,,,,
have a shower,have ,shower,a,sg,T,tba,,,,,,,
have a bath,have ,bath,a,sg,T,tba,,,,,,,
have a benefit,have ,benefit,a,sg,T,tba,,,,,,,
have a breakdown,have ,breakdown,a,sg,T,tba,,,,,,,
have a career,have ,career,a,sg,T,tba,,,,,,,
have a celebration,have ,celebration,a,sg,T,tba,,,,,,,
have a cold,have ,cold,a,sg,T,tba,,,,,,,
have a commitment,have ,commitment,a,sg,T,tba,,,,,,,
have a concern,have ,concern,a,sg,T,tba,,,,,,,
have a conversation,have ,conversation,a,sg,T,tba,,,,,,,
have cough,have ,cough,no,sg,T,tba,,,,,,,
have credibility,have ,credibility,no,sg,T,tba,,,,,,,
have a degree,have ,degree,a,sg,T,tba,,,,,,,
have a direction,have ,direction,a,sg,T,tba,,,,,,,
have a duty,have ,duty,a,sg,T,tba,,,,,,,
have faith,have ,faith,no,sg,T,tba,,,,,,,
have a fight,have ,fight,a,sg,T,tba,,,,,,,
have flu,have ,flu,no,sg,T,tba,,,,,,,
have a problem,have ,problem,a,sg,T,tba,,,,,,,
have a headache,have ,headache,a,sg,T,tba,,,,,,,
have respect,have ,respect,no,sg,T,tba,,,,,,,
have results,have,results,no,pl,T,tba,,,,,,,
have a laugh,have ,laugh,a,sg,T,tba,,,,,,,
have luck,have ,luck,no,sg,T,tba,,,,,,,
have a nap,have ,nap,a,sg,T,tba,,,,,,,
have a plan,have ,plan,a,sg,T,tba,,,,,,,
have power,have ,power,no,sg,T,tba,,,,,,,
have a property,have ,property,a,sg,T,tba,,,,,,,
have a purpose,have ,purpose,a,sg,T,tba,,,,,,,
have a regret,have ,regret,a,sg,T,tba,,,,,,,
have a relationship,have ,relationship,a,sg,T,tba,,,,,,,
have a reputation,have ,reputation,a,sg,T,tba,,,,,,,
have significance,have ,significance,no,sg,T,tba,,,,,,,
have a smoke,have ,smoke,a,sg,T,tba,,,,,,,
have a standing,have ,standing,a,sg,T,tba,,,,,,,
have  a surprise,have  ,surprise,a,sg,T,tba,,,,,,,
have a temperature,have ,temperature,a,sg,T,tba,,,,,,,
have time,have ,time,no,sg,T,tba,,,,,,,
have trouble,have ,trouble,no,sg,T,tba,,,,,,,
have a car,have ,car,a,sg,F,no,,,,,,,
have a bike,have  ,bike,a,sg,F,no,,,,,,,
have a house,have ,house,a,sg,F,no,,,,,,,
have a phone,have ,phone,a,sg,F,no,,,,,,,
have a laptop,have ,laptop,a,sg,F,no,,,,,,,
have a computer,have ,computer,a,sg,F,no,,,,,,,
have a television,have  ,television,a,sg,F,no,,,,,,,
have a camera,have ,camera,a,sg,F,no,,,,,,,
have a watch,have ,watch,a,sg,F,no,,,,,,,
have a wallet,have ,wallet,a,sg,F,no,,,,,,,
have a passport,have ,passport,a,sg,F,no,,,,,,,
have a ticket,have  ,ticket,a,sg,F,no,,,,,,,
have money,have ,money,no,sg,F,no,,,,,,,
have a room ,have ,room,a,sg,F,no,,,,,,,
have cash,have ,cash,no,sg,F,no,,,,,,,
have furniture,have ,furniture,no,sg,F,no,,,,,,,
have a bag,have  ,bag,a,sg,F,no,,,,,,,
have a suitcase,have ,suitcase,a,sg,F,no,,,,,,,
have a bed,have ,bed,a,sg,F,no,,,,,,,
have a mansion,have ,mansion,a,sg,F,no,,,,,,,
have books,have ,books,no,pl,F,no,,,,,,,
have a jacket,have  ,jacket,a,sg,F,no,,,,,,,
have a hat,have ,hat,a,sg,F,no,,,,,,,
have documents,have ,documents,no,pl,F,no,,,,,,,
have shoes,have ,shoes,no,pl,F,no,,,,,,,
have a couch,have ,couch,a,sg,F,no,,,,,,,
have a studio,have  ,studio,a,sg,F,no,,,,,,,
have a pool,have ,pool,a,sg,F,no,,,,,,,
have a radio,have ,radio,a,sg,F,no,,,,,,,
have a boat,have ,boat,a,sg,F,no,,,,,,,
have a tablet,have ,tablet,a,sg,F,no,,,,,,,
have appliances,have  ,appliances,no,pl,F,no,,,,,,,
have a backpack,have ,backpack,a,sg,F,no,,,,,,,
have a bag,have ,bag,a,sg,F,no,,,,,,,
have jewels,have ,jewels,no,pl,F,no,,,,,,,
have a guitar,have ,guitar,a,sg,F,no,,,,,,,
have a necklace,have  ,necklace,a,sg,F,no,,,,,,,
have a bracelet,have ,bracelet,a,sg,F,no,,,,,,,
have a pen,have ,pen,a,sg,F,no,,,,,,,
have boots,have ,boots,no,pl,F,no,,,,,,,
give accolade,give,accolade,no,sg,T,Oper1,,,,,,,
give advice,give,advice,no,sg,T,Oper1,,,,,,,
give aid,give,aid,no,sg,T,Oper1,,,,,,,
give an answer,give,answer,an,sg,T,Oper1,,,,,,,
give approval,give,approval,no,sg,T,Oper1,,,,,,,
give assurance,give,assurance,no,sg,T,Oper1,,,,,,,
give attention,give,attention,no,sg,T,Oper1,,,,,,,
give birth,give,birth,no,sg,T,Oper1,,,,,,,
give a boost,give,boost,a,sg,T,Oper1,,,,,,,
give a call,give,call,a,sg,T,Oper1,,,,,,,
give care,give,care,no,sg,T,Oper1,,,,,,,
give comfort,give,comfort,no,sg,T,Oper1,,,,,,,
give consideration,give,consideration,no,sg,T,Oper1,,,,,,,
give cover,give,cover,no,sg,T,Oper1,,,,,,,
give coverage,give,coverage,no,sg,T,Oper1,,,,,,,
give credit,give,credit,no,sg,T,Oper1,,,,,,,
give a description,give,description,a,sg,T,Oper1,,,,,,,
give feedback,give,feedback,no,sg,T,Oper1,,,,,,,
give a handshake,give,handshake,a,sg,T,Oper1,,,,,,,
give a hug,give,hug,a,sg,T,Oper1,,,,,,,
give an indication,give,indication,an,sg,T,Oper1,,,,,,,
give a lecture,give,lecture,a,sg,T,Oper1,,,,,,,
give a lesson,give,lesson,a,sg,T,Oper1,,,,,,,
give a look,give,look,a,sg,T,Oper1,,,,,,,
give an order,give,order,an,sg,T,Oper1,,,,,,,
give an ovation,give,ovation,an,sg,T,Oper1,,,,,,,
give an overview,give,overview,an,sg,T,Oper1,,,,,,,
give praise,give,praise,no,sg,T,Oper1,,,,,,,
give protection,give,protection,no,sg,T,Oper1,,,,,,,
give recognition,give,recognition,no,sg,T,Oper1,,,,,,,
give a response,give,response,a,sg,T,Oper1,,,,,,,
give a ride,give,ride,a,sg,T,Oper1, ,,,,,,
give shelter,give,shelter,no,sg,T,Oper1, ,,,,,,
give a speech,give,speech,a,sg,T,Oper1, ,,,,,,
give a suggestion,give,suggestion,a,sg,T,Oper1, ,,,,,,
give support,give,support,no,sg,T,Oper1, ,,,,,,
give a talk,give,talk,a,sg,T,Oper1, ,,,,,,
give a try,give,try,a,sg,T,Oper1, ,,,,,,
give an ultimatum,give,ultimatum,an,sg,T,Oper1, ,,,,,,
give a warning,give,warning,a,sg,T,Oper1, ,,,,,,
give a book,give,book,a,sg,F,no, ,,,,,,
give a flower,give,flower,a,sg,F,no, ,,,,,,
give a gift,give,gift,a,sg,F,no, ,,,,,,
give a key,give,key,a,sg,F,no, ,,,,,,
give a pen,give,pen,a,sg,F,no, ,,,,,,
give a ring,give,ring,a,sg,F,no, ,,,,,,
give a letter,give,letter,a,sg,F,no, ,,,,,,
give a card,give,card,a,sg,F,no, ,,,,,,
give a toy,give,toy,a,sg,F,no, ,,,,,,
give a ticket,give,ticket,a,sg,F,no, ,,,,,,
give a cookie,give,cookie,a,sg,F,no, ,,,,,,
give a plant,give,plant,a,sg,F,no, ,,,,,,
give a sandwich,give,sandwich,a,sg,F,no, ,,,,,,
give a bottle,give,bottle,a,sg,F,no, ,,,,,,
give a cup,give,cup,a,sg,F,no, ,,,,,,
give a phone,give,phone,a,sg,F,no, ,,,,,,
give a laptop,give,laptop,a,sg,F,no, ,,,,,,
give a watch,give,watch,a,sg,F,no, ,,,,,,
give a wallet,give,wallet,a,sg,F,no, ,,,,,,
give a coin,give,coin,a,sg,F,no, ,,,,,,
give a dollar,give,dollar,a,sg,F,no, ,,,,,,
give a mug,give,mug,a,sg,F,no, ,,,,,,
give a painting,give,painting,a,sg,F,no, ,,,,,,
give a blanket,give,blanket,a,sg,F,no, ,,,,,,
give a jacket,give,jacket,a,sg,F,no, ,,,,,,
give a cake,give,cake,a,sg,F,no, ,,,,,,
give a hat,give,hat,a,sg,F,no, ,,,,,,
give a bag,give,bag,a,sg,F,no, ,,,,,,
give a suitcase,give,suitcase,a,sg,F,no, ,,,,,,
give a bicycle,give,bicycle,a,sg,F,no, ,,,,,,
give a guitar,give,guitar,a,sg,F,no, ,,,,,,
give a necklace,give,necklace,a,sg,F,no, ,,,,,,
give a jewel,give,jewel,a,sg,F,no, ,,,,,,
give a candle,give,candle,a,sg,F,no, ,,,,,,
give a notebook,give,notebook,a,sg,F,no, ,,,,,,
give a document,give,document,a,sg,F,no, ,,,,,,
give a package,give,package,a,sg,F,no, ,,,,,,
give a box,give,box,a,sg,F,no, ,,,,,,
give a trophy,give,trophy,a,sg,F,no, ,,,,,,
give a medal,give,medal,a,sg,F,no, ,,,,,,
take action,take,action,no,sg,T,Oper1,,,,,,,
take advice,take,advice,no,sg,T,Real3I,,,,,,,
take a bath,take,bath,a,sg,T,Oper1,,,,,,,
take notes,take,notes,no,sg,T,Oper1,,,,,,,
take a breath,take,breath,a,sg,T,Oper1,,,,,,,
take a detour,take,detour,a,sg,T,Real1,,,,,,,
take direction,take,direction,no,sg,T,CausOper1,,,,,,,
take lead,take,lead,no,sg,T,IncepOper1,,,,,,,
take a look,take,look,a,sg,T,IncepOper1,,,,,,,
take a nap,take,nap,a,sg,T,Oper1,,,,,,,
take notice,take,notice,no,sg,T,IncepOper1,,,,,,,
take a position,take,position,a,sg,T,Caus1Oper1,,,,,,,
take power,take,power,no,sg,T,Caus1Oper1,,,,,,,
take a responsibility,take,responsibility,a,sg,T,RealII,,,,,,,
take a risk,take,risk,a,sg,T,Real2,,,,,,,
take a seat,take,seat,a,sg,T,IncepOper1,,,,,,,
take shelter,take,shelter,no,sg,T,IncepReal2,,,,,,,
take a stance,take,stance,a,sg,T,Caus1Oper1,,,,,,,
take a stand,take,stand,a,sg,T,IncepOper1,,,,,,,
take a step,take,step,a,sg,T,Oper1,,,,,,,
take a cake,take,cake,a,sg,F,no,,,,,,,
take a sandwich,take,sandwich,a,sg,F,no,,,,,,,
take a box,take,box,a,sg,F,no,,,,,,,
take a salad,take,salad,a,sg,F,no,,,,,,,
take a suitcase,take,suitcase,a,sg,F,no,,,,,,,
take a bag,take,bag,a,sg,F,no,,,,,,,
take a book,take,book,a,sg,F,no,,,,,,,
take a letter,take,letter,a,sg,F,no,,,,,,,
take a card,take,card,a,sg,F,no,,,,,,,
take a container,take,container,a,sg,F,no,,,,,,,
take a document,take,document,a,sg,F,no,,,,,,,
take a dish,take,dish,a,sg,F,no,,,,,,,
take a plate,take,plate,a,sg,F,no,,,,,,,
take a mug,take,mug,a,sg,F,no,,,,,,,
take a cup,take,cup,a,sg,F,no,,,,,,,
take a bowl,take,bowl,a,sg,F,no,,,,,,,
take a blanket,take,blanket,a,sg,F,no,,,,,,,
take a watch,take,watch,a,sg,F,no,,,,,,,
take a laptop,take,laptop,a,sg,F,no,,,,,,,
take a lamp,take,lamp,a,sg,F,no,,,,,,,
make a call,make,call,a,sg,T,Oper1,,,,,,,
make a comment,make,comment,a,sg,T,Oper1,,,,,,,
make a declaration,make,declaration,a,sg,T,Oper1,,,,,,,
make a presentation,make,presentation,a,sg,T,Oper1,,,,,,,
make a promise,make,promise,a,sg,T,Oper1,,,,,,,
make a remark,make,remark,a,sg,T,Oper1,,,,,,,
make a request,make,request,a,sg,T,Oper1,,,,,,,
make a statement,make,statement,a,sg,T,Oper1,,,,,,,
make a suggestion,make,suggestion,a,sg,T,Oper1,,,,,,,
make a decision,make,decision,a,sg,T,Oper1,,,,,,,
make a choice,make,choice,a,sg,T,Oper1,,,,,,,
make a commitment,make,commitment,a,sg,T,Oper1,,,,,,,
make a resolution,make,resolution,a,sg,T,Oper1,,,,,,,
make a compromise,make,compromise,a,sg,T,Oper1,,,,,,,
make a concession,make,concession,a,sg,T,Oper1,,,,,,,
make a pact,make,pact,a,sg,T,Oper1,,,,,,,
make a deal,make,deal,a,sg,T,Oper1,,,,,,,
make a gesture,make,gesture,a,sg,T,Oper1,,,,,,,
make a payment,make,payment,a,sg,T,Oper1,,,,,,,
make a cake,make,cake,a,sg,F,no,,,,,,,
